Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
69,3.0,0.0,0.0,1439.0,9.0,27.0,6212.0,0.1,12.624999999999996,0.0,0.0,1355.4604260921478,,,,,,,,,,,,,,,,,,,,,4.083249435025628,4.437348713473205,12.539819364163275,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,1650.0,10.0,211.0,6423.0,0.1,140.02499999999998,0.0,0.0,1376.637618780136,,,,,,,,,,,,,,,,,,,,,64.78774364423292,36.53939063557635,126.60787523365902,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,1808.0,11.0,158.0,6581.0,0.1,114.60579999999989,0.0,0.0,1392.3626763820648,,,,,,,,,,,,,,,,,,,,,47.27505739054019,34.32467198081496,107.35093545226376,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,2115.0,12.0,307.0,6888.0,0.1,216.82500000000073,0.0,0.0,1422.5176310539246,,,,,,,,,,,,,,,,,,,,,93.93604642157871,54.13925315901839,188.36317172886132,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,2146.0,13.0,31.0,6919.0,0.1,13.225999999999997,0.0,0.0,1425.8581399917603,,,,,,,,,,,,,,,,,,,,,4.166508010337276,4.58143417164139,13.123071271150573,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,2358.0,14.0,212.0,7131.0,0.1,98.70600000000005,0.0,0.0,1446.9717378616333,,,,,,,,,,,,,,,,,,,,,44.075289571622726,25.384288189283946,89.54103113204896,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,2507.0,15.0,149.0,7280.0,0.1,66.64899999999994,0.0,0.0,1461.9080038070679,,,,,,,,,,,,,,,,,,,,,26.907702738428476,17.90068772551918,62.76521996668761,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,2548.0,16.0,41.0,7321.0,0.1,18.308000000000007,0.0,0.0,1466.2868638038635,,,,,,,,,,,,,,,,,,,,,5.421975305204501,6.097057928780072,18.121924740041962,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,2619.0,17.0,71.0,7392.0,0.1,44.928999999999974,0.0,0.0,1473.4995007514954,,,,,,,,,,,,,,,,,,,,,17.338744975706305,14.833783015884995,43.78547627379617,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,2645.0,18.0,26.0,7418.0,0.1,12.185999999999996,0.0,0.0,1476.4222300052643,,,,,,,,,,,,,,,,,,,,,4.064552964779665,4.327687187475302,12.104518555508191,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,2914.0,19.0,269.0,7687.0,0.1,181.5880000000003,0.0,0.0,1503.128413438797,,,,,,,,,,,,,,,,,,,,,79.39379294866785,49.23060931750938,160.55201317113765,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,3.0,0.0,0.0,3072.0,20.0,158.0,7845.0,0.1,94.36599999999997,0.0,0.0,1518.7682852745056,,,,,,,,,,,,,,,,,,,,,41.61371668258598,25.89276241422915,87.9668785543817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
